task_id,user_id,assignment_id,title,category,priority,time_allocated,status
199,260,763,Complete assignment #763,school,high,90,not_started
200,260,764,Complete assignment #764,school,high,30,in_progress
201,260,765,Complete assignment #765,school,medium,90,in_progress
202,260,766,Complete assignment #766,school,high,90,not_started
203,260,,Organize fundraiser,extracurricular,medium,60,completed
204,260,,Grocery shopping,personal,medium,15,in_progress
205,261,2067,Complete assignment #2067,school,medium,120,not_started
206,261,2068,Complete assignment #2068,school,low,30,in_progress
207,261,2069,Complete assignment #2069,school,low,120,completed
208,261,2070,Complete assignment #2070,school,low,120,not_started
209,261,2018,Complete assignment #2018,school,high,60,in_progress
210,261,2019,Complete assignment #2019,school,medium,120,in_progress
211,261,2020,Complete assignment #2020,school,low,45,completed
212,261,2021,Complete assignment #2021,school,low,45,in_progress
213,261,2022,Complete assignment #2022,school,medium,120,completed
214,261,2034,Complete assignment #2034,school,medium,60,in_progress
215,261,2035,Complete assignment #2035,school,high,45,not_started
216,261,2036,Complete assignment #2036,school,medium,120,in_progress
217,261,2037,Complete assignment #2037,school,medium,30,in_progress
218,261,2038,Complete assignment #2038,school,high,45,not_started
219,261,2039,Complete assignment #2039,school,high,120,completed
220,261,2040,Complete assignment #2040,school,medium,60,not_started
221,261,,Workout,personal,low,45,not_started
222,261,,Organize fundraiser,extracurricular,high,45,completed
223,261,,Call family,personal,high,45,in_progress
224,262,859,Complete assignment #859,school,low,30,in_progress
225,262,860,Complete assignment #860,school,low,90,not_started
226,262,861,Complete assignment #861,school,low,45,completed
227,262,786,Complete assignment #786,school,medium,120,not_started
228,262,787,Complete assignment #787,school,medium,60,completed
229,262,788,Complete assignment #788,school,medium,45,in_progress
230,262,793,Complete assignment #793,school,low,60,not_started
231,262,794,Complete assignment #794,school,medium,30,in_progress
232,262,844,Complete assignment #844,school,low,60,in_progress
233,262,845,Complete assignment #845,school,high,120,completed
234,262,846,Complete assignment #846,school,medium,30,completed
235,262,,Update resume,work,low,30,completed
236,262,,Workout,personal,medium,90,not_started
237,262,,Shift at cafe,work,low,45,completed
238,263,2079,Complete assignment #2079,school,low,45,in_progress
239,263,2080,Complete assignment #2080,school,low,60,completed
240,263,2081,Complete assignment #2081,school,medium,90,not_started
241,263,2082,Complete assignment #2082,school,medium,45,completed
242,263,2137,Complete assignment #2137,school,high,90,completed
243,263,2138,Complete assignment #2138,school,low,30,not_started
244,263,2117,Complete assignment #2117,school,low,45,not_started
245,263,2118,Complete assignment #2118,school,medium,60,in_progress
246,263,2119,Complete assignment #2119,school,medium,45,completed
247,263,2120,Complete assignment #2120,school,high,120,not_started
248,263,2096,Complete assignment #2096,school,high,60,completed
249,263,2097,Complete assignment #2097,school,medium,45,not_started
250,263,2098,Complete assignment #2098,school,medium,45,completed
251,263,,Shift at cafe,work,medium,90,not_started
252,263,,Clean apartment,personal,high,90,in_progress
253,263,,Clean apartment,personal,low,45,completed
254,263,,Laundry,personal,medium,60,in_progress
255,263,,Clean apartment,personal,high,90,completed
256,264,1606,Complete assignment #1606,school,low,45,completed
257,264,1607,Complete assignment #1607,school,medium,45,in_progress
258,264,1608,Complete assignment #1608,school,medium,90,completed
259,264,1646,Complete assignment #1646,school,high,45,completed
260,264,1647,Complete assignment #1647,school,medium,60,in_progress
261,264,1648,Complete assignment #1648,school,low,30,not_started
262,264,1649,Complete assignment #1649,school,high,60,not_started
263,264,1650,Complete assignment #1650,school,low,90,in_progress
264,264,1615,Complete assignment #1615,school,medium,90,in_progress
265,264,1616,Complete assignment #1616,school,medium,90,in_progress
266,264,1617,Complete assignment #1617,school,medium,60,not_started
267,264,1623,Complete assignment #1623,school,low,45,in_progress
268,264,1624,Complete assignment #1624,school,medium,30,in_progress
269,264,1625,Complete assignment #1625,school,low,60,completed
270,264,1626,Complete assignment #1626,school,high,120,completed
271,264,1627,Complete assignment #1627,school,medium,45,not_started
272,264,1618,Complete assignment #1618,school,low,60,not_started
273,264,1619,Complete assignment #1619,school,low,60,not_started
274,264,1620,Complete assignment #1620,school,medium,60,in_progress
275,264,1621,Complete assignment #1621,school,high,60,not_started
276,264,1622,Complete assignment #1622,school,high,45,completed
277,264,,Update resume,work,medium,45,completed
278,264,,Organize fundraiser,extracurricular,high,15,in_progress
279,264,,Workout,personal,medium,30,not_started
280,264,,Workout,personal,medium,30,completed
281,265,150,Complete assignment #150,school,high,90,completed
282,265,151,Complete assignment #151,school,medium,60,completed
283,265,152,Complete assignment #152,school,medium,45,in_progress
284,265,153,Complete assignment #153,school,high,90,not_started
285,265,154,Complete assignment #154,school,medium,120,not_started
286,265,155,Complete assignment #155,school,low,120,completed
287,265,156,Complete assignment #156,school,medium,30,in_progress
288,265,157,Complete assignment #157,school,high,60,in_progress
289,265,101,Complete assignment #101,school,medium,90,completed
290,265,102,Complete assignment #102,school,medium,120,not_started
291,265,103,Complete assignment #103,school,high,30,in_progress
292,265,140,Complete assignment #140,school,low,45,not_started
293,265,141,Complete assignment #141,school,medium,120,completed
294,265,142,Complete assignment #142,school,high,120,in_progress
295,265,143,Complete assignment #143,school,medium,90,not_started
296,265,144,Complete assignment #144,school,medium,30,in_progress
297,265,,Club meeting,extracurricular,medium,90,completed
298,265,,Call family,personal,low,30,not_started
299,265,,Workout,personal,low,90,in_progress
300,266,258,Complete assignment #258,school,low,45,not_started
301,266,259,Complete assignment #259,school,medium,60,not_started
302,266,260,Complete assignment #260,school,medium,120,not_started
303,266,261,Complete assignment #261,school,low,60,in_progress
304,266,174,Complete assignment #174,school,low,60,completed
305,266,175,Complete assignment #175,school,medium,90,not_started
306,266,176,Complete assignment #176,school,low,45,in_progress
307,266,182,Complete assignment #182,school,medium,30,in_progress
308,266,183,Complete assignment #183,school,low,45,completed
309,266,184,Complete assignment #184,school,medium,90,completed
310,266,185,Complete assignment #185,school,high,90,not_started
311,266,186,Complete assignment #186,school,high,60,in_progress
312,266,187,Complete assignment #187,school,high,90,not_started
313,266,254,Complete assignment #254,school,low,45,in_progress
314,266,255,Complete assignment #255,school,medium,120,completed
315,266,256,Complete assignment #256,school,high,60,completed
316,266,257,Complete assignment #257,school,medium,90,in_progress
317,266,,Grocery shopping,personal,medium,60,in_progress
318,266,,Call family,personal,medium,90,completed
319,267,1039,Complete assignment #1039,school,low,90,not_started
320,267,1040,Complete assignment #1040,school,high,90,in_progress
321,267,1052,Complete assignment #1052,school,high,45,completed
322,267,1053,Complete assignment #1053,school,low,90,completed
323,267,1054,Complete assignment #1054,school,low,45,completed
324,267,1055,Complete assignment #1055,school,low,60,completed
325,267,1061,Complete assignment #1061,school,high,60,completed
326,267,1062,Complete assignment #1062,school,low,45,completed
327,267,1063,Complete assignment #1063,school,medium,120,not_started
328,267,1064,Complete assignment #1064,school,medium,30,completed
329,267,1065,Complete assignment #1065,school,high,60,in_progress
330,267,1066,Complete assignment #1066,school,low,60,not_started
331,267,1096,Complete assignment #1096,school,low,90,not_started
332,267,1097,Complete assignment #1097,school,high,90,in_progress
333,267,1098,Complete assignment #1098,school,high,90,completed
334,267,1108,Complete assignment #1108,school,medium,30,not_started
335,267,1109,Complete assignment #1109,school,low,45,in_progress
336,267,1110,Complete assignment #1110,school,high,90,in_progress
337,267,1111,Complete assignment #1111,school,low,30,in_progress
338,267,1112,Complete assignment #1112,school,low,90,not_started
339,267,,Freelance project,work,low,90,not_started
340,267,,Club meeting,extracurricular,high,60,not_started
341,267,,Grocery shopping,personal,high,45,not_started
342,267,,Volunteer event,extracurricular,low,15,completed
343,268,1637,Complete assignment #1637,school,high,45,in_progress
344,268,1638,Complete assignment #1638,school,low,120,completed
345,268,1639,Complete assignment #1639,school,high,30,in_progress
346,268,1640,Complete assignment #1640,school,medium,90,not_started
347,268,1641,Complete assignment #1641,school,low,30,completed
348,268,1606,Complete assignment #1606,school,low,45,in_progress
349,268,1607,Complete assignment #1607,school,low,45,not_started
350,268,1608,Complete assignment #1608,school,medium,30,completed
351,268,,Shift at cafe,work,low,15,completed
352,268,,Workout,personal,high,30,not_started
353,268,,Grocery shopping,personal,medium,45,completed
354,268,,Submit timesheet,work,low,90,in_progress
355,269,1207,Complete assignment #1207,school,medium,30,not_started
356,269,1208,Complete assignment #1208,school,low,60,in_progress
357,269,1209,Complete assignment #1209,school,low,90,completed
358,269,1166,Complete assignment #1166,school,low,90,not_started
359,269,1167,Complete assignment #1167,school,low,30,completed
360,269,1148,Complete assignment #1148,school,medium,120,in_progress
361,269,1149,Complete assignment #1149,school,low,45,in_progress
362,269,1150,Complete assignment #1150,school,high,90,completed
363,269,,Meal prep,personal,high,30,in_progress
364,269,,Submit timesheet,work,medium,60,completed
365,270,523,Complete assignment #523,school,high,45,in_progress
366,270,524,Complete assignment #524,school,high,60,completed
367,270,525,Complete assignment #525,school,high,90,not_started
368,270,599,Complete assignment #599,school,low,120,completed
369,270,600,Complete assignment #600,school,medium,90,in_progress
370,270,557,Complete assignment #557,school,high,45,in_progress
371,270,558,Complete assignment #558,school,high,30,not_started
372,270,559,Complete assignment #559,school,high,30,in_progress
373,270,560,Complete assignment #560,school,high,90,completed
374,270,561,Complete assignment #561,school,high,30,not_started
375,270,562,Complete assignment #562,school,medium,90,not_started
376,270,546,Complete assignment #546,school,low,90,not_started
377,270,547,Complete assignment #547,school,low,45,completed
378,270,548,Complete assignment #548,school,high,90,completed
379,270,549,Complete assignment #549,school,medium,45,not_started
380,270,,Clean apartment,personal,high,45,completed
381,270,,Update resume,work,medium,30,not_started
382,271,1085,Complete assignment #1085,school,low,45,completed
383,271,1086,Complete assignment #1086,school,high,45,completed
384,271,1087,Complete assignment #1087,school,medium,120,in_progress
385,271,1088,Complete assignment #1088,school,medium,30,not_started
386,271,1089,Complete assignment #1089,school,medium,30,completed
387,271,1061,Complete assignment #1061,school,low,45,completed
388,271,1062,Complete assignment #1062,school,low,30,not_started
389,271,1063,Complete assignment #1063,school,high,45,not_started
390,271,1064,Complete assignment #1064,school,low,90,completed
391,271,1065,Complete assignment #1065,school,medium,45,completed
392,271,1066,Complete assignment #1066,school,low,90,not_started
393,271,,Practice session,extracurricular,high,60,completed
394,271,,Update resume,work,medium,15,completed
395,271,,Organize fundraiser,extracurricular,medium,30,in_progress
396,272,1269,Complete assignment #1269,school,medium,120,completed
397,272,1270,Complete assignment #1270,school,medium,45,completed
398,272,1271,Complete assignment #1271,school,medium,30,completed
399,272,1272,Complete assignment #1272,school,medium,30,completed
400,272,1273,Complete assignment #1273,school,medium,120,in_progress
401,272,1274,Complete assignment #1274,school,high,45,not_started
402,272,1253,Complete assignment #1253,school,medium,60,in_progress
403,272,1254,Complete assignment #1254,school,medium,120,completed
404,272,1255,Complete assignment #1255,school,low,60,not_started
405,272,1256,Complete assignment #1256,school,medium,45,not_started
406,272,1257,Complete assignment #1257,school,low,30,not_started
407,272,1258,Complete assignment #1258,school,high,60,in_progress
408,272,,Practice session,extracurricular,medium,60,in_progress
409,272,,Grocery shopping,personal,medium,15,completed
410,272,,Team meeting prep,work,high,30,not_started
411,272,,Practice session,extracurricular,high,45,completed
412,272,,Practice session,extracurricular,high,15,completed
413,273,58,Complete assignment #58,school,medium,45,not_started
414,273,59,Complete assignment #59,school,low,60,completed
415,273,60,Complete assignment #60,school,high,30,completed
416,273,82,Complete assignment #82,school,high,45,not_started
417,273,83,Complete assignment #83,school,medium,45,not_started
418,273,84,Complete assignment #84,school,high,120,completed
419,273,85,Complete assignment #85,school,low,30,not_started
420,273,86,Complete assignment #86,school,low,90,in_progress
421,273,8,Complete assignment #8,school,high,30,in_progress
422,273,9,Complete assignment #9,school,low,90,not_started
423,273,10,Complete assignment #10,school,medium,60,completed
424,273,11,Complete assignment #11,school,high,120,completed
425,273,12,Complete assignment #12,school,medium,120,in_progress
426,273,,Grocery shopping,personal,low,90,completed
427,273,,Volunteer event,extracurricular,medium,30,completed
428,273,,Practice session,extracurricular,low,30,completed
429,273,,Shift at cafe,work,low,60,completed
430,273,,Call family,personal,high,60,not_started
431,274,172,Complete assignment #172,school,medium,45,completed
432,274,173,Complete assignment #173,school,low,90,not_started
433,274,200,Complete assignment #200,school,low,90,in_progress
434,274,201,Complete assignment #201,school,low,45,not_started
435,274,202,Complete assignment #202,school,high,45,completed
436,274,203,Complete assignment #203,school,low,60,completed
437,274,204,Complete assignment #204,school,medium,90,completed
438,274,,Workout,personal,low,45,not_started
439,274,,Update resume,work,low,45,not_started
440,275,365,Complete assignment #365,school,low,90,in_progress
441,275,366,Complete assignment #366,school,low,30,not_started
442,275,367,Complete assignment #367,school,low,120,completed
443,275,368,Complete assignment #368,school,low,30,not_started
444,275,369,Complete assignment #369,school,low,90,completed
445,275,372,Complete assignment #372,school,medium,90,in_progress
446,275,373,Complete assignment #373,school,medium,120,in_progress
447,275,374,Complete assignment #374,school,medium,60,completed
448,275,375,Complete assignment #375,school,low,60,completed
449,275,376,Complete assignment #376,school,medium,120,not_started
450,275,377,Complete assignment #377,school,medium,60,completed
451,275,421,Complete assignment #421,school,low,90,completed
452,275,422,Complete assignment #422,school,medium,45,not_started
453,275,423,Complete assignment #423,school,low,120,not_started
454,275,424,Complete assignment #424,school,high,45,in_progress
455,275,425,Complete assignment #425,school,high,90,in_progress
456,275,383,Complete assignment #383,school,high,45,not_started
457,275,384,Complete assignment #384,school,high,60,not_started
458,275,385,Complete assignment #385,school,medium,30,completed
459,275,386,Complete assignment #386,school,high,60,completed
460,275,387,Complete assignment #387,school,low,120,in_progress
461,275,414,Complete assignment #414,school,high,120,completed
462,275,415,Complete assignment #415,school,medium,90,completed
463,275,416,Complete assignment #416,school,medium,30,completed
464,275,417,Complete assignment #417,school,medium,120,not_started
465,275,418,Complete assignment #418,school,low,120,completed
466,275,,Team meeting prep,work,low,45,completed
467,275,,Clean apartment,personal,low,60,completed
468,276,2519,Complete assignment #2519,school,medium,120,not_started
469,276,2520,Complete assignment #2520,school,low,45,completed
470,276,2521,Complete assignment #2521,school,high,30,not_started
471,276,2522,Complete assignment #2522,school,high,30,not_started
472,276,2562,Complete assignment #2562,school,medium,90,completed
473,276,2563,Complete assignment #2563,school,low,60,completed
474,276,2564,Complete assignment #2564,school,high,30,completed
475,276,2565,Complete assignment #2565,school,high,90,not_started
476,276,2566,Complete assignment #2566,school,high,60,completed
477,276,2567,Complete assignment #2567,school,high,120,not_started
478,276,2528,Complete assignment #2528,school,medium,90,completed
479,276,2529,Complete assignment #2529,school,high,90,completed
480,276,2530,Complete assignment #2530,school,high,90,completed
481,276,2531,Complete assignment #2531,school,low,60,not_started
482,276,2532,Complete assignment #2532,school,low,30,not_started
483,276,2574,Complete assignment #2574,school,high,120,completed
484,276,2575,Complete assignment #2575,school,high,30,in_progress
485,276,2576,Complete assignment #2576,school,low,60,completed
486,276,2577,Complete assignment #2577,school,high,30,in_progress
487,276,2578,Complete assignment #2578,school,high,120,not_started
488,276,2579,Complete assignment #2579,school,medium,90,in_progress
489,276,2533,Complete assignment #2533,school,medium,45,in_progress
490,276,2534,Complete assignment #2534,school,high,120,not_started
491,276,2535,Complete assignment #2535,school,medium,30,in_progress
492,276,2536,Complete assignment #2536,school,medium,60,not_started
493,276,2537,Complete assignment #2537,school,medium,45,in_progress
494,276,,Submit timesheet,work,medium,30,completed
495,276,,Grocery shopping,personal,high,45,in_progress
496,276,,Grocery shopping,personal,medium,90,in_progress
497,276,,Team meeting prep,work,medium,60,not_started
498,276,,Volunteer event,extracurricular,high,30,completed
499,277,439,Complete assignment #439,school,low,30,completed
500,277,440,Complete assignment #440,school,low,90,completed
501,277,441,Complete assignment #441,school,medium,45,completed
502,277,442,Complete assignment #442,school,high,90,in_progress
503,277,443,Complete assignment #443,school,high,90,completed
504,277,457,Complete assignment #457,school,medium,90,not_started
505,277,458,Complete assignment #458,school,high,60,not_started
506,277,477,Complete assignment #477,school,low,120,in_progress
507,277,478,Complete assignment #478,school,low,60,completed
508,277,444,Complete assignment #444,school,high,30,completed
509,277,445,Complete assignment #445,school,high,60,in_progress
510,277,446,Complete assignment #446,school,low,120,not_started
511,277,466,Complete assignment #466,school,high,90,not_started
512,277,467,Complete assignment #467,school,low,45,not_started
513,277,468,Complete assignment #468,school,high,45,completed
514,277,469,Complete assignment #469,school,low,60,completed
515,277,470,Complete assignment #470,school,high,30,completed
516,277,471,Complete assignment #471,school,low,90,completed
517,277,,Workout,personal,low,15,in_progress
518,277,,Volunteer event,extracurricular,low,15,completed
519,277,,Call family,personal,high,60,completed
520,277,,Laundry,personal,medium,30,not_started
521,277,,Team meeting prep,work,medium,45,completed
522,278,1728,Complete assignment #1728,school,low,90,completed
523,278,1729,Complete assignment #1729,school,high,30,completed
524,278,1730,Complete assignment #1730,school,high,90,not_started
525,278,1703,Complete assignment #1703,school,high,90,in_progress
526,278,1704,Complete assignment #1704,school,low,30,not_started
527,278,1705,Complete assignment #1705,school,medium,120,not_started
528,278,1706,Complete assignment #1706,school,high,120,completed
529,278,1707,Complete assignment #1707,school,medium,60,completed
530,278,1708,Complete assignment #1708,school,low,120,not_started
531,278,1738,Complete assignment #1738,school,medium,90,not_started
532,278,1739,Complete assignment #1739,school,low,30,in_progress
533,278,1740,Complete assignment #1740,school,high,120,not_started
534,278,1741,Complete assignment #1741,school,high,30,in_progress
535,278,1742,Complete assignment #1742,school,high,120,in_progress
536,278,1774,Complete assignment #1774,school,high,120,in_progress
537,278,1775,Complete assignment #1775,school,high,30,completed
538,278,1776,Complete assignment #1776,school,low,30,not_started
539,278,1777,Complete assignment #1777,school,high,45,not_started
540,278,1778,Complete assignment #1778,school,medium,60,not_started
541,278,1779,Complete assignment #1779,school,low,120,not_started
542,278,,Submit timesheet,work,medium,15,not_started
543,278,,Submit timesheet,work,medium,45,completed
544,278,,Team meeting prep,work,high,15,not_started
545,279,2620,Complete assignment #2620,school,low,120,completed
546,279,2621,Complete assignment #2621,school,medium,120,in_progress
