log_id,user_id,task_id,category,duration,logged_at,archived
42,29,27,extracurricular,60,2026-04-18 15:06:53,False
43,29,27,extracurricular,120,2026-04-18 15:04:44,False
44,29,28,work,15,2026-04-18 15:07:22,False
45,29,28,work,25,2026-04-18 15:05:52,False
46,29,30,work,30,2026-04-18 15:05:13,True
47,29,30,work,30,2026-04-18 15:06:35,False
48,29,31,personal,90,2026-04-18 15:05:23,False
49,29,31,personal,45,2026-04-18 15:06:59,False
50,29,31,personal,25,2026-04-18 15:04:44,False
51,30,32,school,30,2026-04-18 15:07:28,False
52,30,32,school,60,2026-04-18 15:06:26,False
53,30,32,school,15,2026-04-18 15:04:35,False
54,30,34,school,60,2026-04-18 15:05:42,False
55,30,34,school,25,2026-04-18 15:05:37,False
56,30,34,school,30,2026-04-18 15:05:55,True
57,30,35,school,90,2026-04-18 15:06:24,False
58,30,35,school,45,2026-04-18 15:06:36,False
59,30,36,school,25,2026-04-18 15:04:44,False
60,30,36,school,30,2026-04-18 15:07:02,False
61,30,36,school,90,2026-04-18 15:06:26,False
62,30,37,school,60,2026-04-18 15:05:29,False
63,30,37,school,30,2026-04-18 15:07:25,False
64,30,40,school,30,2026-04-18 15:07:25,False
65,30,40,school,90,2026-04-18 15:07:11,False
66,30,40,school,15,2026-04-18 15:07:15,True
67,30,41,personal,15,2026-04-18 15:05:11,True
68,30,41,personal,25,2026-04-18 15:07:12,False
69,30,41,personal,30,2026-04-18 15:06:34,False
70,30,43,extracurricular,90,2026-04-18 15:06:12,False
71,30,44,personal,30,2026-04-18 15:05:18,False
72,30,44,personal,15,2026-04-18 15:07:16,False
73,30,45,personal,45,2026-04-18 15:06:33,False
74,30,45,personal,30,2026-04-18 15:05:20,False
75,31,48,school,45,2026-04-18 15:06:07,False
76,31,50,work,120,2026-04-18 15:06:28,False
77,31,50,work,45,2026-04-18 15:05:02,False
78,31,51,personal,90,2026-04-18 15:07:03,False
79,31,51,personal,45,2026-04-18 15:04:32,False
80,31,52,work,120,2026-04-18 15:05:07,True
81,31,53,work,90,2026-04-18 15:04:55,False
82,32,55,school,90,2026-04-18 15:06:57,False
83,32,55,school,15,2026-04-18 15:06:57,False
84,32,56,extracurricular,30,2026-04-18 15:07:17,False
85,32,56,extracurricular,90,2026-04-18 15:05:23,False
86,32,57,personal,120,2026-04-18 15:06:11,False
87,32,58,extracurricular,15,2026-04-18 15:06:12,False
88,32,59,work,25,2026-04-18 15:07:02,False
89,33,61,school,60,2026-04-18 15:06:31,False
90,33,61,school,45,2026-04-18 15:06:07,False
91,33,62,work,60,2026-04-18 15:05:39,False
92,33,64,work,45,2026-04-18 15:06:43,False
93,33,64,work,90,2026-04-18 15:06:52,False
94,33,65,work,120,2026-04-18 15:06:34,False
95,33,65,work,60,2026-04-18 15:04:44,True
96,33,65,work,30,2026-04-18 15:06:44,False
97,34,66,school,45,2026-04-18 15:05:32,False
98,34,66,school,30,2026-04-18 15:04:47,True
99,34,66,school,120,2026-04-18 15:05:11,False
100,34,67,school,120,2026-04-18 15:04:43,False
101,34,68,work,60,2026-04-18 15:06:18,False
102,34,68,work,15,2026-04-18 15:06:20,False
103,34,68,work,60,2026-04-18 15:06:17,True
104,34,69,personal,25,2026-04-18 15:07:24,False
105,34,70,personal,30,2026-04-18 15:05:28,False
106,34,71,extracurricular,120,2026-04-18 15:06:24,True
107,34,71,extracurricular,25,2026-04-18 15:06:51,False
108,34,72,personal,25,2026-04-18 15:05:51,False
109,34,72,personal,60,2026-04-18 15:05:11,False
110,35,73,extracurricular,60,2026-04-18 15:06:09,False
111,35,74,personal,25,2026-04-18 15:05:37,False
112,35,75,work,120,2026-04-18 15:05:03,False
113,35,75,work,15,2026-04-18 15:06:15,False
114,36,79,school,90,2026-04-18 15:05:38,False
115,36,79,school,60,2026-04-18 15:06:48,False
116,36,81,school,90,2026-04-18 15:05:23,False
117,36,81,school,90,2026-04-18 15:05:14,False
118,36,81,school,45,2026-04-18 15:04:43,False
119,36,82,school,30,2026-04-18 15:05:18,False
120,36,82,school,90,2026-04-18 15:05:38,True
121,36,82,school,45,2026-04-18 15:06:51,False
122,36,83,school,25,2026-04-18 15:04:57,False
123,36,83,school,25,2026-04-18 15:05:40,False
124,36,83,school,90,2026-04-18 15:05:34,False
125,36,84,school,45,2026-04-18 15:04:46,True
126,36,84,school,30,2026-04-18 15:07:19,False
127,36,86,extracurricular,25,2026-04-18 15:05:50,False
128,36,86,extracurricular,30,2026-04-18 15:06:47,False
129,36,87,personal,15,2026-04-18 15:04:48,True
130,36,88,work,120,2026-04-18 15:04:45,False
131,36,88,work,25,2026-04-18 15:05:47,False
132,36,88,work,25,2026-04-18 15:06:10,False
133,37,89,school,25,2026-04-18 15:06:02,False
134,37,89,school,45,2026-04-18 15:04:48,False
135,37,90,school,45,2026-04-18 15:04:46,False
136,37,90,school,45,2026-04-18 15:06:09,True
137,37,90,school,45,2026-04-18 15:06:17,False
138,37,91,school,25,2026-04-18 15:06:51,False
139,37,94,school,45,2026-04-18 15:07:05,False
140,37,94,school,120,2026-04-18 15:04:32,False
141,37,95,work,30,2026-04-18 15:05:44,False
142,37,95,work,120,2026-04-18 15:06:50,True
143,37,95,work,25,2026-04-18 15:06:40,False
144,37,96,extracurricular,120,2026-04-18 15:06:10,False
145,37,96,extracurricular,15,2026-04-18 15:07:28,False
146,38,97,extracurricular,30,2026-04-18 15:05:13,False
147,38,99,personal,60,2026-04-18 15:06:03,False
148,38,99,personal,60,2026-04-18 15:06:33,False
149,38,99,personal,60,2026-04-18 15:05:00,False
150,39,101,school,15,2026-04-18 15:05:18,False
151,39,102,school,60,2026-04-18 15:05:18,False
152,39,102,school,120,2026-04-18 15:04:56,True
153,39,103,school,60,2026-04-18 15:05:00,True
154,39,103,school,15,2026-04-18 15:05:19,True
155,39,103,school,30,2026-04-18 15:05:23,False
156,39,104,school,25,2026-04-18 15:06:50,False
157,39,104,school,60,2026-04-18 15:05:35,True
158,39,104,school,60,2026-04-18 15:07:19,False
159,39,105,school,60,2026-04-18 15:06:39,False
160,39,105,school,30,2026-04-18 15:05:59,False
161,39,105,school,60,2026-04-18 15:06:21,False
162,39,106,school,90,2026-04-18 15:05:52,False
163,39,106,school,45,2026-04-18 15:04:54,False
164,39,106,school,30,2026-04-18 15:04:31,False
165,39,108,personal,60,2026-04-18 15:05:41,False
166,39,108,personal,90,2026-04-18 15:07:01,False
167,39,108,personal,90,2026-04-18 15:05:38,True
168,39,109,extracurricular,30,2026-04-18 15:07:05,False
169,39,109,extracurricular,120,2026-04-18 15:05:49,False
170,39,109,extracurricular,60,2026-04-18 15:05:47,False
171,39,111,extracurricular,25,2026-04-18 15:06:58,False
172,39,111,extracurricular,90,2026-04-18 15:06:27,False
173,39,111,extracurricular,120,2026-04-18 15:06:16,False
174,40,112,school,15,2026-04-18 15:05:24,False
175,40,114,work,15,2026-04-18 15:06:18,False
176,40,115,personal,25,2026-04-18 15:06:35,False
177,40,115,personal,25,2026-04-18 15:05:56,False
178,40,115,personal,120,2026-04-18 15:05:01,False
179,40,116,work,120,2026-04-18 15:05:41,False
180,40,116,work,90,2026-04-18 15:05:27,True
181,40,116,work,25,2026-04-18 15:06:42,False
182,40,117,extracurricular,90,2026-04-18 15:06:23,False
183,40,117,extracurricular,45,2026-04-18 15:07:24,False
184,40,118,extracurricular,45,2026-04-18 15:06:50,False
185,41,119,school,60,2026-04-18 15:05:28,False
186,41,119,school,120,2026-04-18 15:05:20,False
187,41,120,school,60,2026-04-18 15:06:51,False
188,41,120,school,25,2026-04-18 15:05:35,False
189,41,121,school,25,2026-04-18 15:07:17,False
190,41,121,school,30,2026-04-18 15:05:05,False
191,41,122,school,90,2026-04-18 15:07:29,False
192,41,123,school,45,2026-04-18 15:05:02,False
193,41,123,school,120,2026-04-18 15:06:48,False
194,41,124,school,15,2026-04-18 15:04:34,False
195,41,124,school,60,2026-04-18 15:06:40,False
196,41,125,personal,120,2026-04-18 15:07:19,False
197,41,125,personal,120,2026-04-18 15:05:07,False
198,41,125,personal,30,2026-04-18 15:06:53,True
199,41,127,work,45,2026-04-18 15:06:59,False
200,41,127,work,90,2026-04-18 15:04:42,False
201,41,128,work,120,2026-04-18 15:07:02,False
202,41,129,work,25,2026-04-18 15:06:53,True
203,41,129,work,90,2026-04-18 15:06:31,False
204,42,130,school,15,2026-04-18 15:04:55,False
205,42,131,school,90,2026-04-18 15:05:24,False
206,42,133,school,30,2026-04-18 15:05:15,False
207,42,133,school,15,2026-04-18 15:04:57,False
208,42,133,school,25,2026-04-18 15:05:46,True
209,42,134,school,45,2026-04-18 15:05:37,False
210,42,135,work,45,2026-04-18 15:05:50,False
211,42,135,work,120,2026-04-18 15:06:17,False
212,42,135,work,30,2026-04-18 15:06:14,False
213,43,138,school,60,2026-04-18 15:06:06,False
214,43,140,school,45,2026-04-18 15:07:16,False
215,43,141,personal,15,2026-04-18 15:07:06,False
216,43,142,extracurricular,120,2026-04-18 15:05:45,False
217,43,142,extracurricular,90,2026-04-18 15:04:36,False
218,43,142,extracurricular,30,2026-04-18 15:07:24,False
219,43,144,personal,60,2026-04-18 15:06:36,False
220,43,144,personal,30,2026-04-18 15:06:56,False
221,43,145,extracurricular,25,2026-04-18 15:06:16,False
222,43,145,extracurricular,45,2026-04-18 15:07:14,False
223,43,145,extracurricular,120,2026-04-18 15:04:49,True
224,44,146,school,90,2026-04-18 15:05:14,False
225,44,147,extracurricular,90,2026-04-18 15:06:29,True
226,44,147,extracurricular,90,2026-04-18 15:04:59,False
227,44,148,work,60,2026-04-18 15:06:20,False
228,44,148,work,25,2026-04-18 15:06:11,True
